Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Gioco dell'Orso_test_results";"sizeOfTrack";26;false;"Track concept is not present";Static
"Go with the Floe_test_results";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static
"Go with the Floe_test_results";"eachPieceReferenceNotDuplicated";24;false;"Ludeme Each for a Piece requires that the reference to Seal1 is not duplicated. Found 3 occurrences.";Static
"Go with the Floe_test_results";"pieceDeclaredAsEach";61;true;;Static
"Go with the Floe_test_results";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static
"Go with the Floe_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"Go with the Floe_test_results";"playerNotDeclared";21;true;;Static
"Go with the Floe_test_results";"equalNumberOfPiecesOnTheBoard";89;true;;Static
"Go with the Floe_test_results";"sizeOfTrack";24;false;"Track concept is not present";Static
"Haretavl_test_results";"lineLessOrEqualThanBoardSide";12;false;"Line concept is not present";Static
"Haretavl_test_results";"eachPieceReferenceNotDuplicated";11;true;;Static
"Haretavl_test_results";"pieceDeclaredAsEach";42;true;;Static
"Haretavl_test_results";"pieceDeclaredAsShared";11;false;"The game does not have any piece declared as Shared";Static
"Haretavl_test_results";"pieceDeclaredAsNeutral";10;true;;Static
"Haretavl_test_results";"playerNotDeclared";11;true;;Static
"Haretavl_test_results";"equalNumberOfPiecesOnTheBoard";93;true;;Static
"Haretavl_test_results";"sizeOfTrack";10;false;"Track concept is not present";Static
"Hat Diviyan Keliya_test_results";"lineLessOrEqualThanBoardSide";10;false;"Line concept is not present";Static
"Hat Diviyan Keliya_test_results";"eachPieceReferenceNotDuplicated";8;true;;Static
"Hat Diviyan Keliya_test_results";"pieceDeclaredAsEach";41;true;;Static
"Hat Diviyan Keliya_test_results";"pieceDeclaredAsShared";8;false;"The game does not have any piece declared as Shared";Static
"Hat Diviyan Keliya_test_results";"pieceDeclaredAsNeutral";11;true;;Static
"Hat Diviyan Keliya_test_results";"playerNotDeclared";10;true;;Static
"Hat Diviyan Keliya_test_results";"equalNumberOfPiecesOnTheBoard";83;true;;Static
"Hat Diviyan Keliya_test_results";"sizeOfTrack";11;false;"Track concept is not present";Static
"Huli-Mane Ata_test_results";"lineLessOrEqualThanBoardSide";10;false;"Line concept is not present";Static
"Huli-Mane Ata_test_results";"eachPieceReferenceNotDuplicated";9;true;;Static
"Huli-Mane Ata_test_results";"pieceDeclaredAsEach";44;true;;Static
"Huli-Mane Ata_test_results";"pieceDeclaredAsShared";13;false;"The game does not have any piece declared as Shared";Static
"Huli-Mane Ata_test_results";"pieceDeclaredAsNeutral";10;true;;Static
"Huli-Mane Ata_test_results";"playerNotDeclared";11;true;;Static
"Huli-Mane Ata_test_results";"equalNumberOfPiecesOnTheBoard";75;true;;Static
"Huli-Mane Ata_test_results";"sizeOfTrack";9;false;"Track concept is not present";Static
"Hund efter Hare (Thy)_test_results";"lineLessOrEqualThanBoardSide";20;false;"Line concept is not present";Static
"Hund efter Hare (Thy)_test_results";"eachPieceReferenceNotDuplicated";17;true;;Static
"Hund efter Hare (Thy)_test_results";"pieceDeclaredAsEach";52;true;;Static
